Date,Close,High,Low,Open,Volume
08-05-2009,30.59,30.59,30.59,30.59,0
11-05-2009,30.57,30.57,30.57,30.57,0
12-05-2009,30.29,30.29,30.29,30.29,0
13-05-2009,31.15,31.15,31.15,31.15,0
14-05-2009,29.44,29.44,29.44,29.44,0
15-05-2009,30.38,30.38,30.38,30.38,0
18-05-2009,29.36,29.36,29.36,29.36,0
19-05-2009,28.65,28.65,28.65,28.65,0
20-05-2009,27.77,27.77,27.77,27.77,0
21-05-2009,28.59,28.59,28.59,28.59,0
22-05-2009,28.21,28.21,28.21,28.21,0
25-05-2009,28.25,28.25,28.25,28.25,0
26-05-2009,28.62,28.62,28.62,28.62,0
27-05-2009,29.62,29.62,29.62,29.62,0
28-05-2009,28.47,28.47,28.47,28.47,0
29-05-2009,27.72,27.72,27.72,27.72,0
01-06-2009,26.99,26.99,26.99,26.99,0
02-06-2009,26.36,26.36,26.36,26.36,0
03-06-2009,27.35,27.35,27.35,27.35,0
04-06-2009,28.64,28.64,28.64,28.64,0
05-06-2009,27.63,27.63,27.63,27.63,0
08-06-2009,27.85,27.85,27.85,27.85,0
09-06-2009,27.55,27.55,27.55,27.55,0
10-06-2009,27.04,27.04,27.04,27.04,0
11-06-2009,27.38,27.38,27.38,27.38,0
12-06-2009,27.5,27.5,27.5,27.5,0
15-06-2009,28.16,28.16,28.16,28.16,0
17-06-2009,29.48,29.48,29.48,29.48,0
18-06-2009,28.96,28.96,28.96,28.96,0
19-06-2009,29,29,29,29,0
22-06-2009,29.36,29.36,29.36,29.36,0
23-06-2009,29.68,29.68,29.68,29.68,0
24-06-2009,29.81,29.81,29.81,29.81,0
25-06-2009,29.21,29.21,29.21,29.21,0
26-06-2009,29.02,29.02,29.02,29.02,0
29-06-2009,29.54,29.54,29.54,29.54,0
30-06-2009,29.17,29.17,29.17,29.17,0
01-07-2009,28.44,28.44,28.44,28.44,0
02-07-2009,29.57,29.57,29.57,29.57,0
03-07-2009,29.03,29.03,29.03,29.03,0
06-07-2009,29.96,29.96,29.96,29.96,0
07-07-2009,30.2,30.2,30.2,30.2,0
08-07-2009,29.9,29.9,29.9,29.9,0
09-07-2009,29.46,29.46,29.46,29.46,0
10-07-2009,29.45,29.45,29.45,29.45,0
13-07-2009,29.28,29.28,29.28,29.28,0
14-07-2009,28.47,28.47,28.47,28.47,0
15-07-2009,27.12,27.12,27.12,27.12,0
16-07-2009,27.11,27.11,27.11,27.11,0
17-07-2009,27.01,27.01,27.01,27.01,0
20-07-2009,26.14,26.14,26.14,26.14,0
21-07-2009,25.64,25.64,25.64,25.64,0
22-07-2009,26.08,26.08,26.08,26.08,0
23-07-2009,25.76,25.76,25.76,25.76,0
24-07-2009,25.35,25.35,25.35,25.35,0
27-07-2009,25.42,25.42,25.42,25.42,0
28-07-2009,25.19,25.19,25.19,25.19,0
29-07-2009,25.67,25.67,25.67,25.67,0
30-07-2009,25.18,25.18,25.18,25.18,0
31-07-2009,25,25,25,25,0
03-08-2009,24.55,24.55,24.55,24.55,0
04-08-2009,24.65,24.65,24.65,24.65,0
05-08-2009,24.2,24.2,24.2,24.2,0
06-08-2009,24.51,24.51,24.51,24.51,0
07-08-2009,24.22,24.22,24.22,24.22,0
11-08-2009,24.93,24.93,24.93,24.93,0
12-08-2009,24.92,24.92,24.92,24.92,0
13-08-2009,23.59,23.59,23.59,23.59,0
14-08-2009,23.21,23.21,23.21,23.21,0
17-08-2009,25.47,25.47,25.47,25.47,0
18-08-2009,24.92,24.92,24.92,24.92,0
19-08-2009,25.19,25.19,25.19,25.19,0
20-08-2009,24.66,24.66,24.66,24.66,0
21-08-2009,24.34,24.34,24.34,24.34,0
24-08-2009,23.66,23.66,23.66,23.66,0
25-08-2009,23.8,23.8,23.8,23.8,0
26-08-2009,23.9,23.9,23.9,23.9,0
27-08-2009,24.99,24.99,24.99,24.99,0
28-08-2009,24.14,24.14,24.14,24.14,0
31-08-2009,23.37,23.37,23.37,23.37,0
01-09-2009,24.65,24.65,24.65,24.65,0
02-09-2009,26.23,26.23,26.23,26.23,0
03-09-2009,26.11,26.11,26.11,26.11,0
04-09-2009,25.78,25.78,25.78,25.78,0
07-09-2009,25.31,25.31,25.31,25.31,0
08-09-2009,24.61,24.61,24.61,24.61,0
09-09-2009,24.1,24.1,24.1,24.1,0
10-09-2009,24.25,24.25,24.25,24.25,0
11-09-2009,23.82,23.82,23.82,23.82,0
14-09-2009,24.46,24.46,24.46,24.46,0
15-09-2009,24.06,24.06,24.06,24.06,0
16-09-2009,23.9,23.9,23.9,23.9,0
17-09-2009,23.17,23.17,23.17,23.17,0
18-09-2009,22.92,22.92,22.92,22.92,0
21-09-2009,23.7,23.7,23.7,23.7,0
22-09-2009,22.74,22.74,22.74,22.74,0
